State,District,Party,Member Name,Page ID,URL
AL,1,R,Jo Bonner,49704847429,https://www.facebook.com/jobonner
AL,2,R,Martha Roby,174519582574426,https://www.facebook.com/Representative.Martha.Roby
AL,3,R,Mike D. Rogers,171770326187035,https://www.facebook.com/pages/Congressman-Mike-D-Rogers/171770326187035
AL,4,R,Robert Aderholt,19787529402,https://www.facebook.com/RobertAderholt
AL,5,R,Mo Brooks,155220881193244,https://www.facebook.com/pages/Congressman-Mo-Brooks/155220881193244
AL,6,R,Spencer Bachus,6769692966,https://www.facebook.com/SpencerBachus
AL,7,D,Terri A. Sewell,117758198297225,https://www.facebook.com/RepSewell
AL,Senate,R,Richard Shelby,50850514797,https://www.facebook.com/RichardShelby
AL,Senate,R,Jeff Sessions,23444159584,https://www.facebook.com/jeffsessions
AK,1,R,Don Young,7476269851,https://www.facebook.com/RepDonYoung
AK,Senate,D,Mark Begich,121360477876652,https://www.facebook.com/Begich
AK,Senate,R,Lisa Murkowski,25271170290,https://www.facebook.com/SenLisaMurkowski
AZ,1,D,Ann Kirkpatrick,152493768236405,https://www.facebook.com/RepKirkpatrick
AZ,2,D,Ron Barber,244907165625305,https://www.facebook.com/RepRonBarber
AZ,3,D,Raul Grijalva,73539896233,https://www.facebook.com/Rep.Grijalva
AZ,4,R,Paul Gosar,104329699641957,https://www.facebook.com/repgosar
AZ,5,R,Matt Salmon,149561218527414,https://www.facebook.com/RepMattSalmon
AZ,6,R,David Schweikert,150338151681908,https://www.facebook.com/repdavidschweikert
AZ,7,D,Ed Pastor,257766235846,https://www.facebook.com/PastorForArizona
AZ,8,R,Trent Franks,209486545087,https://www.facebook.com/TrentFranks
AZ,9,D,Kyrsten Sinema,233846963416149,https://www.facebook.com/CongresswomanSinema
AZ,Senate,R,John McCain,6425923706,https://www.facebook.com/johnmccain
AZ,Senate,R,Jeff Flake,154010926645,https://www.facebook.com/senatorjeffflake
AR,1,R,Rick Crawford,143344975723788,https://www.facebook.com/RepRickCrawford
AR,2,R,Tim Griffin,151435304894144,https://www.facebook.com/RepTimGriffin
AR,3,R,Steve Womack,135898413136490,https://www.facebook.com/RepSteveWomack
AR,4,R,Tom Cotton,120355701459307,https://www.facebook.com/RepTomCotton
CA,1,R,Doug LaMalfa,163202650462603,https://www.facebook.com/LaMalfaUSRep
CA,2,D,Jared Huffman,200227780116038,https://www.facebook.com/RepHuffman
CA,3,D,John Garamendi,182567716746,https://www.facebook.com/repgaramendi
CA,4,R,Tom McClintock,81125319109,https://www.facebook.com/pages/Congressman-Tom-McClintock/81125319109
CA,5,D,Mike Thompson,7109195747,https://www.facebook.com/RepMikeThompson
CA,6,D,Doris Matsui,282703023118,https://www.facebook.com/doris.matsui
CA,7,D,Ami Bera,528662157146886,https://www.facebook.com/RepAmiBera
CA,8,R,Paul Cook,464458413604093,https://www.facebook.com/reppaulcook
