COUNTRY,NAME,TITLE,URL,
Afghanistan,Presidential Palace of Afghanistan,Presidential Palace of Afghanistan,https://www.facebook.com/pages/ARG-%D8%A7%D8%B1%DA%AF/204629649613285,
Albania,Sali Berisha,Prime Minister,https://www.facebook.com/SaliBerisha,
Albania,Bujar Nishani,President,https://www.facebook.com/pages/Bujar-Nishani-Faqja-Zyrtare/288438424538934,
Andorra,Government of Andorra,Govern d'Andorra,https://www.facebook.com/govern.ad,
Antigua and Barbuda,Baldwin Spencer,Prime Minister,https://www.facebook.com/pmspencer,
Antigua and Barbuda,Government of Antigua and Barbuda,Government of Antigua and Barbuda,https://www.facebook.com/AntiguaBarbudaGovt,
Argentina,Cristina Fernandez de Kirchner,President,https://www.facebook.com/CFKArgentina,
Australia,Julia Gillard,Prime Minister,https://www.facebook.com/juliagillard,
Austria,Heinz Fischer,President,https://www.facebook.com/heifi2010,
Austria,Werner Faymann,Chancellor,https://www.facebook.com/bundeskanzlerfaymann,
Bahrain,eGovernment of Bahrain,eGovernment of Bahrain,https://www.facebook.com/egovbahrain,
Belgium,Elio Di Rupo,Prime Minister,https://www.facebook.com/elio.dirupo,
Belize,Dean Barrow,Prime Minister,https://www.facebook.com/pages/Government-of-Belize-Press-Office/149350998433745,
Benin,Yayi Boni,President,https://www.facebook.com/docteurboniyayi,
Botswana,Ian Khama,President,https://www.facebook.com/pages/BWgovernment/148228411926492,
Brazil,Dilma Rousseff,President,https://www.facebook.com/SiteDilmaRousseff,
Brunei,Hassanal Bolkiah,Sultan,https://www.facebook.com/bnpmo,
Cambodia,Hun Sen,Prime Minister,https://www.facebook.com/hunsenpm,
Cameroon,Paul Biya,President,https://www.facebook.com/PaulBiya.PageOfficielle,
Canada,Stephen Harper,Prime Minister,https://www.facebook.com/pmharper,
Cape Verde,Jorge Carlos Fonseca,President,https://www.facebook.com/Presidencia.cv,
Chad,Emmanuel Nadingar,Prime Minister,https://www.facebook.com/pages/Gouvernement-du-Tchad/196131260505646,
Chile,Sebastian Pinera,President,https://www.facebook.com/gobiernodechile,
Colombia,Juan Manuel Santos,President,https://www.facebook.com/JMSantos.Presidente,
Costa Rica,Laura Chinchilla Miranda,President,https://www.facebook.com/Laura.Chinchilla.M,
Cote d'Ivoire,Alassane Ouattara,President,https://www.facebook.com/Presidencecotedivoire,
Croatia,Ivo Josipovic,President,https://www.facebook.com/ivojosipovic,
Cyprus,Nicos Anastasiades,President,https://www.facebook.com/NicosAnastasiades,
Czech Republic,Milos Zeman,President,https://www.facebook.com/zemannahrad,
Denmark,Helle Thorning-Schmidt,Prime Minister,https://www.facebook.com/hellethorningschmidt,
Dominican Republic,Danilo Medina,President,https://www.facebook.com/danilomedinasanchez,
DR Congo,Joseph Kabila,President,https://www.facebook.com/jkkabila,
East Timor,Taur Matan Ruak,President,https://www.facebook.com/Matan.Ruak,
Ecuador,Rafael Correa,President,https://www.facebook.com/PresidenciaEcuador,
Egypt,Mohamed Morsi,President,https://www.facebook.com/President.Mohammed.Morsi,
El Salvador,Mauricio Funes,President,https://www.facebook.com/pages/Presidencia-de-la-Rep%C3%BAblica-de-El-Salvador/218955918568,
Estonia,Toomas Hendrik Ilves,President,https://www.facebook.com/thilves,
European Parliment,Martin Schulz,President,https://www.facebook.com/martinschulz.ep,
