State,Name,Party,URL,ID
AL,Robert Bentley,R,https://www.facebook.com/RobertBentley2010,184179159166
AK,Sean Parnell,R,https://www.facebook.com/Alaska.Governor,121523268448
AZ,Jan Brewer,R,https://www.facebook.com/GovJanBrewer,173347701125
AR,Mike Beebe,D,https://www.facebook.com/pages/Office-of-Arkansas-Governor-Mike-Beebe/177813702279256,177813702279256
CA,Jerry Brown,D,https://www.facebook.com/jerrybrown,48001409120
CO,John Hickenlooper,D,https://www.facebook.com/JohnHickenlooper,97493741436
CT,Dan Malloy,D,https://www.facebook.com/GovMalloyOffice,186649214694617
DE,Jack Markell,D,https://www.facebook.com/GovernorMarkell,8066779953
FL,Rick Scott,R,https://www.facebook.com/scottforflorida,113553048669158
GA,Nathan Deal,R,https://www.facebook.com/GovernorDeal?sid=0.42439245081531163,166253651524
HI,Neil Abercrombie,D,https://www.facebook.com/GovernorAbercrombie,150237952408
ID,Butch Otter,R,https://www.facebook.com/pages/Governor-C-L-Butch-Otter/292986829831,292986829831
IL,Pat Quinn,D,https://www.facebook.com/GovernorQuinn,108650015336
IN,Mike Pence,R,https://www.facebook.com/GovernorMikePence,316611475124277
IA,Terry Branstad,R,https://www.facebook.com/TerryBranstad,339058510313
KS,Sam Brownback,R,https://www.facebook.com/govsambrownback,184999488192704
KY,Steven Beshear,D,https://www.facebook.com/govstevebeshear,13654392589
LA,Bobby Jindal,R,https://www.facebook.com/bobbyjindal,51275855094
ME,Paul LePage,R,https://www.facebook.com/mainesgov,316281119675
MD,Martin O'Malley,D,https://www.facebook.com/MDGov,100630680029934
MA,Deval Patrick,D,https://www.facebook.com/GovernorPatrick,6290032613
MI,Rick Snyder,R,https://www.facebook.com/RickForMichigan,93955318358
MN,Mark Dayton,D,https://www.facebook.com/GovMarkDayton,186151651414606
MS,Phil Bryant,R,https://www.facebook.com/im4phil,149191811767085
MO,Jay Nixon,D,https://www.facebook.com/pages/Jay-Nixon/6517667731,6517667731
MT,Steve Bullock,D,https://www.facebook.com/GovSteveBullock,8056916700
NE,Dave Heineman,R,https://www.facebook.com/negovernor,62410468117
NV,Brian Sandoval,R,https://www.facebook.com/SandovalForGovernor,149819417626
NH,Maggie Hassan,D,https://www.facebook.com/GovernorHassan,523773000968844
NJ,Chris Christie,R,https://www.facebook.com/GovChrisChristie,493471480388
NM,Susana Martinez,R,https://www.facebook.com/SusanaMartinezFan,121725593970
NY,Andrew Cuomo,D,https://www.facebook.com/GovernorAndrewCuomo,177009292330292
NC,Pat McCrory,R,https://www.facebook.com/GovernorPat,8380091948
ND,Jack Dalrymple,R,https://www.facebook.com/NDGovDalrymple,584063714972556
OH,John Kasich,R,https://www.facebook.com/JohnRKasich,77590795932
OK,Mary Fallin,R,https://www.facebook.com/maryfallinforgovernor,7921863687
OR,John Kitzhaber,D,https://www.facebook.com/johnkitzhaber,95828599901
PA,Tom Corbett,R,https://www.facebook.com/Gov.TomCorbett,102717886476042
RI,Lincoln Chafee,I,https://www.facebook.com/pages/Governor-Lincoln-Chafee/214145481972377,214145481972377
SC,Nikki Haley,R,https://www.facebook.com/NikkiHaley,109521013225
SD,Dennis Daugaard,R,https://www.facebook.com/SDGovDaugaard,195204760506694
TN,Bill Haslam,R,https://www.facebook.com/TeamHaslam,79785601892
TX,Rick Perry,R,https://www.facebook.com/TexasGovernor,328828253255
UT,Gary Herbert,R,https://www.facebook.com/pages/Gary-R-Herbert/211722425515547,211722425515547
VT,Peter Shumlin,D,https://www.facebook.com/Governor.Peter.Shumlin,155136287867671
VA,Bob McDonnell,R,https://www.facebook.com/pages/Governor-of-Virginia/61634046094,61634046094
WA,Jay Inslee,D,https://www.facebook.com/WaStateGov,156188051194984
WV,Earl Ray Tomblin,D,https://www.facebook.com/ertomblin,180456585323119
WI,Scott Walker,R,https://www.facebook.com/governorscottwalker,175220979161820
WY,Matt Mead,R,https://www.facebook.com/pages/Matt-Mead-for-Governor/179130151810,179130151810
